ds,y
2021-11-30,5.577689243027888
2021-12-31,3.9014373716632447
2022-01-31,11.134453781512606
2022-02-28,7.586206896551724
2022-03-31,8.980582524271846
2022-04-30,14.248704663212436
2022-05-31,7.386363636363637
2022-06-30,11.11111111111111
2022-07-31,11.76470588235294
2022-08-31,10.064935064935066
2022-09-30,7.565789473684211
2022-10-31,1.2008281573498965
2022-11-30,1.4131819761380748
2022-12-31,1.1315630657815328
2023-01-31,1.3567981833664489
2023-02-28,0.7994701736127537
2023-03-31,0.7900677200902935
2023-04-30,0.8295819935691319
2023-05-31,0.6669618641722478
2023-06-30,0.704398798088764
2023-07-31,0.6358138195352134
2023-08-31,0.8682416498735154
2023-09-30,0.7308424148071268
2023-10-31,0.5879406833177275
