ds,y
2021-10-31,186
2021-11-30,181
2021-12-31,181
2022-01-31,182
2022-02-28,180
2022-03-31,179
2022-04-30,184
2022-05-31,184
2022-06-30,188
2022-07-31,179
2022-08-31,159
2022-09-30,659
2022-10-31,1341
2022-11-30,2061
2022-12-31,2910
2023-01-31,3562
2023-02-28,4295
2023-03-31,5276
2023-04-30,6161
2023-05-31,7017
2023-06-30,7852
2023-07-31,8396
2023-08-31,8511
2023-09-30,8546
