ds,y
2021-11-30,2.2216784187942538
2021-12-31,1.1049723756906076
2022-01-31,1.1049723756906076
2022-02-28,1.6483516483516485
2022-03-31,1.1111111111111112
2022-04-30,2.2346368715083798
2022-05-31,1.6304347826086956
2022-06-30,1.6304347826086956
2022-07-31,2.2216784187942538
2022-08-31,2.2216784187942538
2022-09-30,2.2216784187942538
2022-10-31,1.8209408194233687
2022-11-30,1.193139448173005
2022-12-31,0.7763221737020863
2023-01-31,0.9278350515463918
2023-02-28,1.1229646266142617
2023-03-31,0.7683352735739232
2023-04-30,0.9097801364670205
2023-05-31,1.1361791916896609
2023-06-30,0.6840530141085934
2023-07-31,0.5348955680081509
2023-08-31,1.107670319199619
2023-09-30,1.2689460697920338
