ds,y
2021-11-30,94.42231075697211
2021-12-31,96.09856262833677
2022-01-31,88.8655462184874
2022-02-28,92.41379310344827
2022-03-31,91.01941747572816
2022-04-30,85.75129533678756
2022-05-31,92.61363636363636
2022-06-30,88.88888888888889
2022-07-31,88.23529411764706
2022-08-31,89.93506493506493
2022-09-30,92.43421052631578
2022-10-31,98.7991718426501
2022-11-30,98.58681802386192
2022-12-31,98.86843693421847
2023-01-31,98.64320181663355
2023-02-28,99.20052982638725
2023-03-31,99.20993227990971
2023-04-30,99.17041800643088
2023-05-31,99.33303813582775
2023-06-30,99.29560120191124
2023-07-31,99.36418618046478
2023-08-31,99.13175835012649
2023-09-30,99.26915758519287
2023-10-31,99.41205931668227
